elevation_RANGE	slope_MEAN	EVI_MEAN	NEAR.settlement_DIST
294	17.864966	0.537024	715.581382
263	20.058247	0.536117	244.632697
314	23.773687	0.519263	1467.453256
355	23.114452	0.516989	500.677868
142	13.408678	0.485152	99.65382
305	23.888196	0.4999	1316.502977
340	19.641963	0.52182	341.737316
200	12.173226	0.452331	13.237558
334	17.432607	0.493375	593.838153
321	25.123121	0.487505	1374.800323
301	19.603905	0.505529	486.989053
227	14.348363	0.45334	0
239	23.478441	0.506642	864.854812
384	25.315494	0.472531	2460.408456
377	26.9349	0.514687	1508.179415
321	21.520402	0.496237	532.382496
147	9.981504	0.44773	18.053307
246	15.510269	0.54169	346.418019
278	20.237377	0.490804	1309.358158
404	25.878372	0.508822	1506.908122
401	26.033566	0.498833	1660.272919
402	24.144954	0.543015	667.541209
169	16.802253	0.515265	183.778644
275	22.966191	0.52469	595.103367
377	24.568709	0.521604	2352.489196
459	24.163834	0.53586	1392.749471
443	25.888227	0.538294	557.814035
408	23.839677	0.507287	692.559452
276	20.061275	0.540553	1581.16109
228	15.774532	0.527421	706.360317
157	13.005515	0.580117	1690.492692
270	17.931811	0.539275	1387.526158
345	17.814313	0.506438	205.426351
248	17.303841	0.547662	990.518112
171	15.685603	0.522856	206.218842
352	19.734861	0.514158	621.790566
275	17.434667	0.56465	2643.404894
271	14.131683	0.569404	1699.678395
254	17.794997	0.539681	809.167061
206	18.318936	0.520625	65.140176
304	21.190831	0.573777	646.872
362	23.84138	0.589546	583.960698
196	16.423139	0.536528	42.129377
299	18.25779	0.533968	786.81576
314	18.068599	0.569245	1823.051041
231	14.371227	0.561514	1352.270703
242	15.740161	0.527169	1391.022644
224	18.644201	0.545811	428.739926
234	17.363198	0.544951	108.117546
282	16.80519	0.581415	799.889955
321	19.849471	0.519722	1234.701482
225	13.823354	0.520397	413.867845
186	16.816743	0.544906	1168.596845
322	19.794718	0.556928	367.135934
325	19.519041	0.509718	435.080605
301	19.08771	0.54961	211.649378
286	16.667608	0.525803	537.585013
348	21.231946	0.466153	1234.458009
300	19.193755	0.610279	672.15405
288	16.612326	0.53505	136.039165
206	18.815013	0.546478	578.430674
226	16.196846	0.567002	1252.528041
206	20.383111	0.511412	907.876756
319	21.762062	0.501522	1052.054664
377	23.046559	0.604924	2.318291
415	25.885043	0.609896	351.629919
382	22.593861	0.627241	405.120592
203	13.044144	0.542455	118.154803
179	16.013215	0.496909	828.666235
397	21.979214	0.490549	444.078834
242	22.72477	0.53627	39.318839
168	14.880755	0.551342	167.504954
139	12.835541	0.51223	361.258152
271	15.984606	0.51167	85.900666
352	23.760666	0.500849	822.111205
346	22.895399	0.551705	94.836178
413	21.269168	0.554089	398.625435
389	24.030479	0.530247	1074.019639
291	15.04644	0.545718	209.804168
219	16.078805	0.472035	44.872152
