"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"X0" 0 0 0 1 0 0 0 0 0 0 0 0 0
"X1" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X2" 0 0 NA NA NA NA NA NA NA NA NA NA NA
"X3" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X4" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X5" 0 0 1 0 0 0 0 0 0 0 0 0 0
"X6" 0 0 NA NA NA NA NA NA NA NA NA NA NA
"X7" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X8" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X10" 0 0 0 0 0 0 1 0 0 0 0 0 0
"X11" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X12" 0 0 0 1 0 0 0 0 0 0 0 0 0
"X13" NA NA NA NA NA NA NA NA NA NA NA NA NA
"X14" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X15" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X16" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X17" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X19" 0 1 0 0 0 0 0 0 0 0 0 0 0
"X20" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X23" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X24" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X25" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X26" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X27" NA 0 0 0 1 1 0 1 0 0 0 0 0
"X29" NA NA NA NA NA NA NA NA NA NA NA NA NA
"X30" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X31" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X32" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X33" NA 0 0 0 1 0 0 0 0 0 0 0 0
"X36" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X37" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X40" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X42" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X43" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X45" NA 0 0 0 0 0 0 0 0 0 0 0 0
"X46" 1 1 0 0 0 0 0 1 0 0 0 0 0
"X47" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X48" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X49" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X50" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X51" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X52" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X53" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X54" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X55" 0 0 0 0 1 0 1 0 0 1 0 0 0
"X56" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X57" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X58" 0 0 1 0 0 0 0 0 0 0 0 0 0
"X59" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X62" 0 0 0 1 1 1 1 0 0 1 0 0 0
"X64" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X65" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X67" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X69" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X70" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X71" 0 0 1 0 0 1 1 0 0 0 0 0 0
"X72" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X73" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X74" 0 0 NA NA NA NA NA NA NA NA NA NA NA
"X75" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X76" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X77" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X79" 0 0 0 0 1 0 0 0 0 0 0 0 0
"X80" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X81" 1 1 0 0 0 0 0 0 0 0 0 0 0
"X83" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X84" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X85" 0 0 1 0 0 0 0 0 0 0 0 0 0
"X86" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X87" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X88" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X89" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X90" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X91" 0 1 0 0 0 0 0 0 0 0 0 0 0
"X92" 0 1 1 0 0 0 1 0 0 0 0 0 0
"X93" 0 0 0 0 0 0 1 1 0 0 0 0 0
"X94" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X97" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X98" 0 0 0 0 0 0 0 0 0 0 0 0 0
"X99" 0 0 0 0 0 0 0 0 0 0 0 0 0
